id,text,label
10844,RT @ tarani07615489 @ PoliceRajasthan corruption ki complain pe aap dhayan Kyu nahi dete ? Mene 2 baar tweet kiya ki jalor Police ( Ahore ) fr â€¦,unknown
3791,@ ArnabGoswamiRtv @ RahulGandhi Kyu ki vo tumhari tarha chutiye nahi the Paid Media sale apne channel ka naam bhi â€¦ https // t . co / BNGlv19Wlj,unknown
21624,@ SeharKamran @_ Mansoor _ Ali @ ExpressNewsPK @ SMARC _ PPP @ PPPPInfoSecy Ye nalaiqon ka tola Ya ALLAH Pakistan ki khair,unknown
43144,@ MajorPoonia mahilaye labh uthayengi . lekin vote bjp ko dengi . kyon ki 5 sal me kejariwsl ji ne kuch nahi kiya unko s â€¦ https // t . co / Bi4bChsJ38,unknown
42867,@ QasimalirazaAli Ye such bolne walo ko mar sakte lekin such ko daba nhi sakhte or such ko jitna dabane ki koshish k â€¦ https // t co / RNCi0uDlOd,unknown
40769,Setting up for our HII audit workshop with matrons Thank you ISS for your support and super refreshments https // t co / oQE5Fd2FBH,unknown
17946,@ SpursOfficial Cheers lad . You lot just having a really good season hate to say that tbh but never forget that . Good luck for next season !,unknown
843,@ Osamathemalang @ BilalKhanWriter @ fawadchaudhry Hahaha ye bnda hrksi ko kafir kehta rehta ha Apne ilawa isay koi musalman nazr hi niata,unknown
23329,@ nirahua1 @ narendramodi @ myogiadityanath @ BJP4India jai jai jai AKHELISH jai SAMAJWAD PIR 5sal jhelna padega na â€¦ https // t co / avmQMEXZDQ,unknown
43516,JcdPs moulladad k hudood Goth faqeerabad me 3 chor chori karty hue Gaon walon k hath pakry gaye 1 Farar police ky hawaly . Nabi bux Pandrani,unknown
13712,Unse toh achchi hai yeh cigarette ... dil ko jalati hai magar hoton pe toh aati hai .....ðŸ’”ðŸ’”ðŸ’” SMOKING AND LOVE BOTH C â€¦ https // t . co / rx1AYhkDCA,unknown
4424,@ ICC All the best Team India Jeet ke aana ðŸ‡®ðŸ‡³ðŸ‡®ðŸ‡³,unknown
11422,@ AlinaButtPti @ MaryamNSharif @ FiyazChohanPTI Alina butt fayyaz hasaan jsa kutta aur begarit admi ha he ni is dunia â€¦ https // t . co / 91BQl9jx8Q,unknown
17588,RT @ Being _ Zeeshan09 Main Turpeya Ghar se Dur # TurpeyaSong Mind Blowing Song Bhaijan ðŸ”¥ðŸ”¥ðŸ”¥ # Eid2019 # Bharat # BharatThisEid # 14DaysToBHARAT h â€¦,unknown
8745,@ priyankagandhi Esa koi exam nahi up govt . M jo in 2 saal m leak na huaa hu Ye to sarkar ki rajniti h ki na to ham â€¦ https // t . co / S1s6PxoHiJ,unknown
37006,@ Prince _ adi1 Listen to # Duniyaa from # LukaChuppi . I guess you'll love it ..!,unknown
29291,RT @ ArmyBrigade13 Shall we get a few more Streams in of BOY WITH LUV Before the Wembley Concert Starts ?? Leave a Screen of your Stream ! ðŸ‘‡â€¦,unknown
5905,RT @ Chaosthestic Secondly maa baap ki izzat b koi cheez hoti hai . Har cheez ko support karna band karo . Just because she is a woman doesn â€¦,unknown
27921,Maleeda Sugar Free-Cholestrol Free-Gluten Free Yug me log sonch bhi nahi sakte ... ðŸ˜ https // t . co / 8928pYsnwY,unknown
8762,@ Yogeshwaraya @ dhanyarajendran I trust Dhanya to be active when it comes to women's issues .,unknown
42612,Aur godi media vale ko ab v aankhe nhi khuli to Desh rasatal me chala jayega . https // t . co / byeS5LVZQi,unknown
34997,@ narendramodi government job ke bare me sharkar ku responsible nahi vacancy itni kam aur vo final nahi kar va pa r â€¦ https // t . co / gdatpvcuFQ,unknown
10988,Shame Shame ....!! Tu kese jinda hai twitter me ? Tujhe sharam nahi aate hai kya ?? Tere upar Modi ne Dalali Kiya . T â€¦ https // t . co / j8ZP2zPD8q,unknown
14844,Abay Ab b Tum log Zinda ho Sharam hoti he koi Haya hoti he Tuo Khud tu kamata nhi Jo tukhe atay k Bhao ka pata ho M â€¦ https // t . co / us5jFzBRGq,unknown
3014,@ yadavdimples @ priyankagandhi pehle to janta ne priyanka vadra gandhi ki jam ke chuski le li hai ... ab uska dhol ba â€¦ https // t . co / 8X1FaF7WO4,unknown
20448,chalo bhai tum chahe din bhar opinions kyun na rakh lo but someone else starts having opinions without bothering yo â€¦ https // t . co / 4086iGSpNx,unknown
23905,Ab btaao ki isko samprdaayik roop kisne diya us ldke ne ya muslmaan ne ? @ KapilMishra _ IND @ sardanarohit â€¦ https // t co / HTPf2MAhxO,unknown
37296,@ Payal _ Rohatgi @ YouTube Tweets people do when they are irrelevant to the point ki koi ghaas nahi dalta,unknown
42856,@ Rammi No ðŸ˜… omg I can't remember which place that was I need to look lol,unknown
29080,@ kunalkamra88 @ officialArnab _ Kaun kaun iss baat se sehmat hai ki BJP urf RSS CONGRESS ki galatiyo ka phal hai ?,unknown
10822,@ narendramodi Dear Our PM Sree Narendra Modi ji Sir Ham Apke big fan hai sir please yadavo ke laaz ko Aap bachha ka â€¦ https // t co / lFcugw92aD,unknown
27237,RT @ DurexIndia Bade bade deshon mein aisi chhoti chhoti baatein hoti rehti hain ! Celebrate the freedom of love with Durex # LoveIsLove htt â€¦,unknown
31449,@ sardanarohit @ aajtak Good bhai very good abhi se 2024 ka prachar karna shuru tv k maadhyam se . Ye apki niji raay h â€¦ https // t . co / oeNLpz09rL,unknown
10734,RT @ mw _ rao1 Desi moms ki Kam krny ki ajeeb science hoti hai . Aur Agr na mano to foran Dozakh ki dhamki ðŸ¤ðŸ˜Ÿ,unknown
5739,RT @ pk22940470 How's the # chamche Kya haal hai chamcho ka Bada chilla rahe the Lahul Gandhi bn Gaya pm ðŸ˜€ðŸ˜€ðŸ˜€ðŸ˜€ðŸ˜…ðŸ˜€ðŸ˜…ðŸ˜€ðŸ˜…,unknown
41105,RT @ chirayu _ 96 hamari education system hi chutiye jaisi h ... ghanta achi job milegi . BC itne faltu subjects & alag alag languages padhayi â€¦,unknown
13394,# StayAwayFromHypocrisy @ Gurmeetramrahim Good morning guru g Bless nd give us power 4 Sewa Simran nd Parmarth Dh â€¦ https // t co / L8iOMoriDG,unknown
30013,à¤¸à¤µà¤¤à¥€à¤¨ # HIT _à¤¸à¤ˆà¤¯à¤¾ _ FIT Bhojpuri song 2019 super hit shishir panti thakur ... https // t . co / EBGheRPK3A via @ YouTube,unknown
11032,Bhai ye to sahi h . mgr hamare pas h hi kya . Bjp ne to achut bna hi diya h . Nfrat bhir hi di logon ke dilon me . Khuda â€¦ https // t . co / QY5A9wAccl,unknown
19785,Wish you many many happy returns of the day @ SirPareshRawal I pray god for your good health and fortune â€¦ https // t co / v8UVVlTXxk,unknown
21293,@ kaycinpoint guy groove has really fun choreos ! oh haha it doesnt matter jake and erica really do choose good songs tho,unknown
21155,@ mahisub Gud mrng Actually aapka msg box show naHi kar raha hai otherwise mai aapko msg hi karta Aap mjhe ek msg â€¦ https // t . co / 89XTbVWhUV,unknown
6056,Es me koi shak nahi k PTI hakumat me opposition siraf apne corrupt leaders ko bachane k lie bhonkte hain mulk k lie â€¦ https // t co / eb6HYYgu00,unknown
20984,@ BSNLCorporate My complain is network issue mere area me baar baar 3G network chala jate hai aur iski bahut baar co â€¦ https // t co / sbGbhjXgp8,unknown
25856,RT @ myeongddo AWW BBY ðŸ˜­ðŸ’–ðŸ’– I LOVE U SO MUCH my dms are always open ðŸ˜‰ https // t . co / 4MQkP7nxo4,unknown
8240,@ HamidMirPAK Sir leave ..... maza nae ha Pakistan ma kici b media journalist ka .. q k yahn koe such Bolta e nae,unknown
21721,Today is big festival meri Bharath ma ka beta pure viswa me raaj karega sabke dil me sirf ek naam ' Modiji ' Bharath matha ki jai,unknown
27783,RT @ faysalquraishi Aaj ki # sheri thank you # farhanqiser lovely meeting you all # kamranjillani # adnanjillani # irfanmw # adilmurad # nomanmaso â€¦,unknown
19625,What an awesome ending to an epic drama # ranjharanjhakardi We will miss you @ IamImranAshraf as # bhola on our scre â€¦ https // t . co / 55P9aTgWwZ,unknown
35006,Hiii i just made this acc and i want khh and krnb mutuals !!! i love sik k dpr live crush heize offonoff jus like this or follow me hehe,unknown
17660,RT @ Mehraj _ ali _ k @ humamalik76 @ ZakirKhan012 @ ImranKhanPTI Present jo hai aapki deklo shameless beggars India is fastest growing Â major Â â€¦,unknown
23605,RT @ iamforfun @ bej _ vikash @ j _ deepakj @ RituRathaur @ vandema09287787 He said not just bjp ppl r Hindus even v r Hindus But as in politics t â€¦,unknown
17224,@ Zorawar68324101 @ danvir _ chauhan Hindi Rajbhasha he Rashtrabhasa nahi Kripya 10wi tak ki padhai kare,unknown
23874,@ its _ fatiiiii Nhi yaar yahan tw 1year walo k bhe khatam ho gye thy,unknown
11284,@ rssurjewala @ INCIndia Woh sab to theek hai par tumhara sore loser kaha hai !!! Pyaar baant raha tha ab swearing in â€¦ https // t co / 6ubZ8R4rKx,unknown
22701,@ jojojoheeley @ Old _ Ben _ Kay @ Philmoorhouse76 @ mrjamesob So you should be able to evidence your claim . But you can â€™ t . You made it up .,unknown
25926,RT @ aidilalhafiyz I am sorry for being rude . No I am sorry . It was my fault . Hehe I love you . I love you more . â¤ï¸ Beautiful are those â€¦,unknown
11652,EID ke iss Mubarak mauke par Unik Bazar lekar aaya hai aapke liye dhamekedaar offers Karein 3000 Rs ki khareedari â€¦ https // t co / YHoCCjnKpP,unknown
9458,RT @ iamsaratsrk @ bomanirani # HNY2 ki announcement hogyi to humka iss gola me nhi rehna hum nikal jaounga dusre gola me,unknown
11081,kuch apke banaye huye rishte boht khaas hoty hain phr woh apki life mein rahy nah rhy apke dil hamesha rehty or yeh â€¦ https // t . co / vebWBOAkRX,unknown
7285,@ BhimArmyChief Sir Bhim Army join karna Chahata hu M Please help m From Mp ðŸ™ðŸ™ Jay bhim Jay Bharat,unknown
2764,@ rkive _ shawn Not this again . Liza and haaru legit had a desi rotten egg on timeline last niggt . With chutiya chutiya everywhere,unknown
40419,@ lkopolice @ Akhileshthakurs Ye hai fasism ka phla stape ... 2022 target ... Hehe .. Ensan bnaya hai eshwar ne ...... Ldo aur mro,unknown
44227,RT @ myLondis ðŸŽ¶ We've got a beatastic prize up for grabs ðŸŽ§ We've teamed up with our friends at @ vimto & giving you the chance to # WIN a pa â€¦,unknown
21965,RT @ pradipkjain1 @ amit645sharma Double attack Modi ka sath gaya Rahul ka Mila Ho gaya khela,unknown
25875,@ Redfire450 Chutiya gaye hain chuse huye aam ke fans ðŸ˜ disaster saala khud toh khel leta hain ladkiyon ke saath phir â€¦ https // t co / Ftbg9hVpUs,unknown
21921,@ Kavita _ Sharma4 Congress kuj v krle koi fayda nahi Jo hindutva ka teer BJP ne chlaya hjab tak uska todd nahi nik â€¦ https // t . co / FiEiOIRVR4,unknown
18535,@ hatefreebharat @ OM _ MEENA _ NKT @ MukeshSharmaMLA Election Commissioner haram khor ne sabh ke vote usko bech diya . Pai â€¦ https // t . co / M6btp0F6s3,unknown
5278,Sab free kar dete hai sir sab bheekh maang kar jeeyege https // t co / 8vHkWztg9b,unknown
10444,@ saad _ durrani @ omar _ quraishi PTI walon ka problem ye ha Wo mehngai ko b defend kar rahy hine . Haha,unknown
43225,Visvas kumar great leader i don't know but he is great human and we like his performance ðŸ˜„ðŸ˜„ðŸŽ¤ https // t co / vzWRzwSdpH,unknown
28263,@ dalitsamajindia @ thewirehindi RSS k thee isliye Kyuki kabhi koi veerta ka kaam kartey nahi,unknown
37439,Thank you so much apka ek new india banane ke liye Koti koti pradam apko,unknown
1500,RT @_ DreTekDem One thing I â€™ ve realized you can â€™ t force nobody to see the bigger or to see that you got them when nobody else does . Imma ju â€¦,unknown
27390,@ ShashiTharoor Tu gulam hi or gulam rahega murkha bevkuf Desh drohi tu Pappu Khan ka mutre pe or Pakistan ja maderchd,unknown
5166,RT @ redribbonmusik â€œ Zindagi har lamha hai khushi kar isse dosti o yaara ve â€¦ â€ dedicate this special song to your besties sung by legendar â€¦,unknown
17,@ SHABAZGIL Shukar hai ye pathan nae warna # PTM nay is pr b wae dramay krnay thay . In ki harkato ki waja say bht jal â€¦ https // t . co / u7k1EUYpk3,unknown
17475,@ RubikaLiyaquat Ek dum sahi kaha TV news ke jariye naam kaam liya paisa bana liya or ab boycott ka natak ... Joker saale,unknown
24131,@ nehasinghjazz Fauj ko generally free hand hota hi hai . Par unki 1 limit hai jiske aage politicians ki responsibil â€¦ https // t . co / x3bQEwPcaF,unknown
14972,@ jaisal _ amit @ JatinNigam4 @ aslam _ bandvi @ TheSamirAbbas @ narendramodi Bhai kaun janta hai ki usi ne karayi hai ab w â€¦ https // t co / C2n4bK1aCz,unknown
42421,@ SyedaKazmi110 @ WaseemBadami Congrats .. Asia subha apka nam nahe lia dekho retweet de dia na ðŸ¤—ðŸ¤—ðŸ¤—ðŸ˜˜ðŸ˜,unknown
26724,@ abpnewshindi @ RahulGandhi @ INCIndia Rahul gandhi ne yeh kya sandesh desh ko diya ki party president ko power nahi â€¦ https // t . co / nWArcx79FS,unknown
37891,Modiji to Mota Bhai - 100 run banate nahi Puri Pakistan ki team se aur inn chutiyo ko World Cup jeetna hai !!!â€¦ https // t . co / wCttUcKijP,unknown
11377,Aise seedhe muunh pe bol diya @ Arun2981 bada potato ..... Sad ( We boycott you @ divya _ amanna https // t . co / qyLEXvCZ0l,unknown
20601,RT @ IndivisibleChi ACTION NEEDED The RHA will be heard in the Senate Public Health Committee tomorrow (5/30) at 900 AM Please fill out â€¦,unknown
7232,RT @ Radha _ singh0710 gussa ho sakta h bura hoo Par sabse jyada sachai ko gussa hi niklwaata h right or wrong ? ??? @ Shalin â€¦,unknown
30579,KUTCH NAHI DEKHA TOH KUCH NAHI DEKHA FOLLOW @ Sampoorna2 FOLLOW US ON FACEBOOK https // t . co / TP5WurymTr FOLLOW US O â€¦ https // t . co / jjgLsiG22q,unknown
9185,@ mjdawar @ nidaskhan Such kaha apka masla kya ap tu phatano k name p syasat kr rahy ho chutye ghaddar insan,unknown
1918,@ iamnarendranath Kya media ne theka liya hai Congress ko improve karne ka ? 130 saal purani buddhi jarjar aur sadi g â€¦ https // t . co / GJxmjNh8g4,unknown
4134,@ MajorPoonia @ MamataOfficial Jai Shri Ram is the mark of respect to Bhagwaan Ram @ narendramodi,unknown
15585,@ PMOIndia @ narendramodi Lots of lots best of the best Wishes the Team Modi Sabka Saath Sabka Vikas Sabka â€¦ https // t co / CtHpGhsp5B,unknown
30146,@ IamSRKfanbig @ RahulVerma4860 @ iamsrk @ Atlee _ dir Pehle chalta tha ab nahi pichle 2 saal ki Bollywood ki track check â€¦ https // t . co / VZKticNi3R,unknown
20936,RT @ BombayBasanti # 32YearsOfMrIndia ( May 29) Hawa Hawaii Karte Hain Hum Pyaar Kaate Nahi Katte Zindagi Ki Yahi Reet Classic superhero mo â€¦,unknown
20757,RT @ DonitaJose # Ramzan rush got @ asadowaisi to turn into traffic cop for a while at Fateh Darwaza ðŸ˜„ We feel your pain .. # Hyderabad # Cha â€¦,unknown
4304,@_ zindagi _ 5 Muslim samaj ki kutchh ldkiya pakke taur par ' din e islam ' ko manti hai agar usko kisi non muslim se lo â€¦ https // t . co / s8K0bGDa3X,unknown
24009,@ Gajendr34511205 Sacchi debate se bhagne wale congressi nahi hote . Punjipati yonke ishare par nachanewale media wa â€¦ https // t . co / ssMJo9xRA3,unknown
10865,@_ The _ Daredevil @ shobhit _ pant Andhbhakto ki sulgaane me bahut mazaa aata hai tumhara hijda baap modi kabhi b sahi â€¦ https // t co / QPnT6n3kZ5,unknown
11302,RT @ bhumika7677 ghutan si hone lagi uss ke paas jate hue main khud se rooth gaya hun usey manaate hue ~ Azhar Iqbal,unknown
12308,@ sonofmallah Aabe got 0 claimed 40 Kuch to bol kaya huaa !!!! Tuzhe to fayada hi hua na Ticket bech Kar Paisa banaya tum ne,unknown
13925,@ Iamkira87130380 @ yadavakhilesh Ab ek aacha aur positive comment dekhne ko mila ...... Hope fir se acche din aa jain .... I miss those days .,unknown
21861,@ naqvisahab1 Best dua yeh sab results tou dunia wi hai onke dar se tou buss onhe ke ataat chahye aur bulawa,unknown
23801,Bta den plz hm intezar kr rhe rhe hn @ WaseemBadami https // t . co / XvYgWyFAOa,unknown
12919,@ Gurmeetramrahim guru g give bless m more sewa simrn parmarth study gd mrng papa g,unknown
32382,@ atulreellife @ Bharat _ TheFilm @ BeingSalmanKhan @ aliabbaszafar @ itsBhushanKumar @ nikhilnamit Jarur bhaijaan ... I'm excited about it,unknown
9363,@ Nikita12S Mere taraf se aapki mom Ko unki Janam diwas ki dher sari subhkamnaye ðŸ™ https // t . co / fM9bigX583,unknown
24884,@ MaryamNSharif Tumhare baap aur khandan kia apni kamaye se Umrah karte the ? tum bc Randi ki bachi mo band kar k be â€¦ https // t . co / AW18Yuy1Ml,unknown
6705,# Repost @ yachan19870804 Thanks for sharing ðŸ˜Š [ JANG KEUN SUK FILM CONCERT TOUR ] We're kicking off June performances â€¦ https // t . co / 8BpNRbALqn,unknown
15368,RT @ B _ RAJA _ # Pakkiri Fun-filled Movie From This June 21 # PakkiriFromJune21 # 21DaysToGoPakkiri @ dhanushkraja @ kenscottfakir @ FakirOff â€¦,unknown
177,@ Vinaymadsfan @ B _ A _ D ___ M _ A _ N In sab films me sab cheez theek baith jati Like director vision great scenes good s â€¦ https // t . co / CAzzTxoCxa,unknown
14937,@ SAMAATV Bilkul krskti hy . Agr tm jaise bikao media suport krain na k 1 match harne se izzat utaro .,unknown
21275,@ Za _ Waseem _ Ym @ MaryamNSharif Prince bhai investigation officer ka naam zaroor cap sardar ho ga ðŸ˜…ðŸ˜…ðŸ˜…ðŸ˜…,unknown
40205,Adarniye bhaisab ko bahut bahut subhkamnaye badhai https // t co / RCxgdT9i0A,unknown
7396,RT @ RShivshankar INDIA UPFRONT at 8pm Top 4 portfolios to see changes Modi-Shah finalise Cabinet list Big rewards for 2019 â€˜ Giant Kille â€¦,unknown
6822,@_ Hsn _ Shah Nahi Noor !!! Aag to Pakistan team ne laga thi wo bhi first match me against wi . Kya khele hai !!! Wah !!!,unknown
19943,@ News18India @ AnchorAnandN Ye nich dusiyant debate me chilane aata hai . Kutte ki punch kabhi sidhhi nahi hotti .,unknown
3266,@ Shwetakumar6 @ AakankshaCharu Bilkul sahi kya namaz ka vakt badla ja sakta hai isme katai bhi bhed bhaav nahi hona â€¦ https // t co / 3Q6AEojIM7,unknown
10141,Dosron ki 5 rupees ki chori rokte hen aur khud 10 rupees ki chori krlete hen Yeh soch he is quom ki,unknown
31280,@_ Hadeed _ Fatema @ N0t _ ur _ Bae ALLAH ALLAH tumy keh rhi hun k dekho kitni cute lgo gi tum ðŸ˜‚ðŸ˜ˆ,unknown
44653,Someone Ask To @ dhruv _ rathee Election Khatam Ho Gye Ab Kya Karoge Dhruv Rathee - Aas Pass Ke Area Me JCB Ki Khuda â€¦ https // t co / 6wndRtHavw,unknown
31837,@ NorthStandGang @ ArjaniFarzan @ MayantiLanger _ B Happy Birthday Farzu ! @ MayantiLanger _ B he is a die hard fan ! Wish him and make his day plsss,unknown
10933,@ The _ NehaJoshi @ ChannelNewsAsia @ BJP4India @ DawnTanCNA Hamar pahad ki cheli kam nahi hai kisi se .ðŸ‘,unknown
21589,@ abpnewshindi Janta ka visvas aap ke sath h nhi to Kyse kah skti ho ki janta ka bharosa EVM se hta h Ye v to â€¦ https // t co / ddRpUpkUWn,unknown
13525,@ BJP _ Ramanuj @ ashutosh83B @ narendramodi @ AmitShah @ byadavbjp Ek time me tukde tukde gang sudhar Jayenge but ye kaliya nahi sudhrega .. Chacha,unknown
31380,@ ArmanMonaco @ ArmanMonaco teri maa panauti hai jisne tere ko janam diya ..... Apni AUKAAT na bhoola kro social media â€¦ https // t . co / 5Ld5E4xnK9,unknown
11251,@ Drpratiksha1 @ Ra _ Bies Mera badla pura nahi hua dr . https // t . co / K4vXUmIWmw,unknown
29583,@ RAShahzad1 Bhai jan lanat hai ap ki shakal pey .... agar sari family foreign national hai tu ap tweets b us country â€¦ https // t . co / dwAZBrILMF,unknown
4047,@ RafiqNathani _ @ JoySRKian _ 1 Ye SRK hater nhi hai bh @ sdi ke ... Jake puch tere baap se .. uska tatta hai ye ... Jaise â€¦ https // t . co / 7Fgr6eTZtr,unknown
25420,@ Itsyourkhaleesi yaar dekho i know you're awesome and you would never do that to me you're too good to be true â€¦ https // t co / SlatpILAe0,unknown
11401,@ DharmaMovies @ karanjohar Tum jio hajaro sal sal m din ho ek hajar very congratulations Karan ji,unknown
30288,@ yoursbadgirl Madarchod dont khada ho raha Aur ye to tere drawing room me hi hoga,unknown
40377,RT @ deespeak I am so PROUD to call this my first show as an actor â¤ï¸ðŸ™ðŸ» Lautne ki tamanna hai meri aur waapsi ka bhi yakeen hai Mazhab ha â€¦,unknown
29413,RT @ VinayaKantRai2 @ IndiaToday @ ajitarticle DESH KI SAMSYAYE MODI GIVT K LIYE CHALKENGE NAHI SAMASYAO K LIYE HAM LOG CHALLANGE H HSMAR â€¦,unknown
37821,RT @ arunbhatneria Increase vacancies for SSC CGL 2017 Sabka Sath Sabka Vikas # IncreaseSSCCGL2017Vacancies # IncreaseSSCCGL17vacancies # Re â€¦,unknown
268,Debates me aakar bhi kya ukhad lete hai fake news ki stories pe agenda chalate hai r tameez to hai Hi nahi kisi â€¦ https // t co / sBSrDtIaZZ,unknown
31644,GooD M ðŸ˜˜ rning Sai @ Gurmeetramrahim ji ~ðŸ™ Dhan Dhan Satguru Tera Hi Aasra ðŸ™ Bless me vd sumiran + sewaful day in full of â€¦ https // t . co / SuZNIgpfkE,unknown
